Banks,Year,Branches
Axis Bank,2019,2068.0
Bandhan Bank,2019,
Bank of Baroda,2019,15059.0
Bank of India,2019,10256.0
Bank of Maharashtra,2019,1910.0
Canara Bank,2019,6651.0
CSB Bank,2019,197.0
Central Bank of India,2019,7586.0
City Union Bank,2019,17.0
DCB Bank,2019,14.0
Dhanlaxmi Bank,2019,405.0
HDFC Bank,2019,564.0
ICICI Bank,2019,1168.0
IDBI Bank,2019,13556.0
IDFC First Bank,2019,
Indian Bank,2019,9374.0
Indian Overseas Bank,2019,5905.0
IndusInd Bank,2019,958.0
Karnataka Bank,2019,472.0
Karur Vysya Bank,2019,681.0
Kotak Mahindra Bank,2019,9742.0
Nainital Bank,2019,22.0
Punjab and Sind Bank,2019,276.0
Punjab National Bank,2019,33049.0
State Bank of India,2019,47567.0
Tamilnad Mercantile Bank,2019,412.0
The Federal Bank,2019,1074.0
The Jammu And Kashmir Bank,2019,1.0
The Ratnakar Bank,2019,76.0
The South Indian Bank,2019,727.0
The Lakshmi Vilas Bank,2019,175.0
UCO Bank,2019,6934.0
Union Bank of India,2019,17803.0
Yes Bank,2019,79.0
Axis Bank,2020,2056.0
Bandhan Bank,2020,
Bank of Baroda,2020,18174.0
Bank of India,2020,13432.0
Bank of Maharashtra,2020,5217.0
Canara Bank,2020,7730.0
CSB Bank,2020,222.0
Central Bank of India,2020,6956.0
City Union Bank,2020,19.0
DCB Bank,2020,14.0
Dhanlaxmi Bank,2020,779.0
HDFC Bank,2020,593.0
ICICI Bank,2020,1304.0
IDBI Bank,2020,10778.0
IDFC First Bank,2020,
Indian Bank,2020,10778.0
Indian Overseas Bank,2020,5922.0
IndusInd Bank,2020,963.0
Karnataka Bank,2020,648.0
Karur Vysya Bank,2020,768.0
Kotak Mahindra Bank,2020,11111.0
Nainital Bank,2020,22.0
Punjab and Sind Bank,2020,511.0
Punjab National Bank,2020,37376.0
State Bank of India,2020,46260.0
Tamilnad Mercantile Bank,2020,502.0
The Federal Bank,2020,1038.0
The Jammu And Kashmir Bank,2020,1.0
The Ratnakar Bank,2020,81.0
The South Indian Bank,2020,720.0
The Lakshmi Vilas Bank,2020,216.0
UCO Bank,2020,8246.0
Union Bank of India,2020,25052.0
Yes Bank,2020,2174.0
Axis Bank,2021,2100.0
Bandhan Bank,2021,
Bank of Baroda,2021,20646.0
Bank of India,2021,15272.0
Bank of Maharashtra,2021,6731.0
Canara Bank,2021,12086.0
CSB Bank,2021,210.0
